epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,234.278,0.35146,1.25805,1.04483,0.6349,0.77733,0.78554,0.68113,1.30707,3.10201,1.84614,0.000156845,0.000156845,0.000156845
40,239.006,0.38366,1.23517,1.06108,0.6349,0.77733,0.78554,0.68113,1.30707,3.10201,1.84614,0.0001481,0.0001481,0.0001481
41,243.766,0.92732,2.77571,1.55633,0.75174,0.73236,0.78553,0.67041,1.2616,3.01182,1.87896,0.000138694,0.000138694,0.000138694
42,248.481,0.89842,2.74836,1.53474,0.75174,0.73236,0.78553,0.67041,1.2616,3.01182,1.87896,0.000128629,0.000128629,0.000128629
43,253.238,0.55307,2.27343,1.17431,0.78796,0.71429,0.77054,0.64521,1.26986,2.85555,1.96384,0.000117904,0.000117904,0.000117904
44,258.301,0.48264,1.94761,1.20966,0.78796,0.71429,0.77054,0.64521,1.26986,2.85555,1.96384,0.000106518,0.000106518,0.000106518
45,263.163,0.8166,2.36289,1.49682,0.82845,0.71111,0.77053,0.70305,1.31338,2.68751,2.12867,9.44722e-05,9.44722e-05,9.44722e-05
46,267.866,0.52701,2.08495,1.24934,0.82845,0.71111,0.77053,0.70305,1.31338,2.68751,2.12867,8.17663e-05,8.17663e-05,8.17663e-05
47,272.545,0.36691,1.89392,1.17697,0.8217,0.71429,0.77054,0.70249,1.30095,2.59216,2.15248,6.84003e-05,6.84003e-05,6.84003e-05
48,277.3,0.57192,1.88637,1.27106,0.8217,0.71429,0.77054,0.70249,1.30095,2.59216,2.15248,5.43742e-05,5.43742e-05,5.43742e-05
49,282.078,0.48055,2.00992,1.25622,0.76334,0.71429,0.77055,0.70251,1.3603,2.55571,2.23859,3.96879e-05,3.96879e-05,3.96879e-05
50,287.016,0.84667,2.28088,1.60626,0.76334,0.71429,0.77055,0.70251,1.3603,2.55571,2.23859,2.43415e-05,2.43415e-05,2.43415e-05
