epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.11159,1.11889,3.03982,1.60247,0.00528,1,0.07102,0.02606,1.21235,3.71555,1.7871,0,0,0
2,9.79254,1.54617,3.06738,1.91256,0.00531,1,0.08082,0.02973,1.21054,3.73368,1.77347,1.63399e-05,1.63399e-05,1.63399e-05
3,14.4359,1.21115,2.98628,1.59726,0.00538,1,0.13292,0.06111,1.17062,3.72615,1.71873,3.20197e-05,3.20197e-05,3.20197e-05
4,19.0619,1.33788,3.03762,1.75337,0.00393,0.85714,0.59925,0.12384,1.03514,3.67133,1.59418,4.70394e-05,4.70394e-05,4.70394e-05
5,23.8727,1.04583,2.92389,1.5131,0.00467,0.92857,0.6496,0.38495,0.94516,3.63003,1.52091,6.13989e-05,6.13989e-05,6.13989e-05
6,28.7583,1.19521,3.01375,1.6169,0.00458,0.92857,0.6909,0.52742,0.87049,3.63941,1.42563,7.50984e-05,7.50984e-05,7.50984e-05
7,33.6107,1.01249,2.84793,1.54689,0.00451,0.92857,0.48293,0.4068,0.87517,3.68234,1.41066,8.81376e-05,8.81376e-05,8.81376e-05
8,38.3536,0.92582,2.83225,1.44672,0.00378,0.85714,0.52267,0.38238,0.98599,3.66509,1.4844,0.000100517,0.000100517,0.000100517
9,43.2172,0.67764,2.75432,1.33854,0.00368,0.85714,0.77181,0.41991,0.97978,3.68983,1.48903,0.000112236,0.000112236,0.000112236
10,48.1615,0.65802,2.6756,1.32083,0.00294,0.78571,0.51176,0.34057,1.04718,3.69857,1.57018,0.000123295,0.000123295,0.000123295
11,52.8986,0.56724,2.5641,1.25376,0.00344,0.85714,0.51346,0.38418,1.03048,3.6691,1.65235,0.000133693,0.000133693,0.000133693
12,57.9793,0.55017,2.57705,1.22031,0.00329,0.85714,0.53846,0.45167,1.03578,3.62511,1.73219,0.000143432,0.000143432,0.000143432
13,62.7925,0.42211,2.45147,1.18847,0.00267,0.78571,0.53669,0.45257,1.1682,3.59472,1.94036,0.00015251,0.00015251,0.00015251
14,67.7503,0.44232,2.44913,1.15139,0.00261,0.78571,0.41229,0.31565,1.25194,3.53506,2.14346,0.000160929,0.000160929,0.000160929
15,72.4615,0.54814,2.33722,1.27821,0.00255,0.78571,0.41227,0.30174,1.34431,3.51044,2.24827,0.000168687,0.000168687,0.000168687
16,77.261,0.46364,2.3113,1.12088,0.00255,0.78571,0.38739,0.26467,1.39564,3.53037,2.2609,0.000175785,0.000175785,0.000175785
17,82.0344,0.4812,2.13436,1.15509,0.00255,0.78571,0.38739,0.26796,1.34191,3.52658,2.18641,0.000182223,0.000182223,0.000182223
18,86.7544,0.47664,2.07508,1.13329,0.00255,0.78571,0.38739,0.26796,1.34191,3.52658,2.18641,0.000188001,0.000188001,0.000188001
19,91.5094,0.42553,2.05961,1.10901,0.00257,0.78571,0.37082,0.23921,1.32622,3.50383,2.17677,0.000193119,0.000193119,0.000193119
20,96.2586,0.41655,1.96929,1.1485,0.00257,0.78571,0.37082,0.23921,1.32622,3.50383,2.17677,0.000197576,0.000197576,0.000197576
21,101.067,0.41151,2.0412,1.10263,0.00259,0.78571,0.34398,0.25698,1.29248,3.47095,2.18903,0.000201374,0.000201374,0.000201374
22,106.043,0.38511,1.80409,1.13152,0.00259,0.78571,0.34398,0.25698,1.29248,3.47095,2.18903,0.000204511,0.000204511,0.000204511
23,111.079,0.48608,1.94092,1.16216,0.00262,0.78571,0.35011,0.24158,1.31975,3.45958,2.16206,0.000206988,0.000206988,0.000206988
24,115.94,0.48559,1.922,1.19306,0.00262,0.78571,0.35011,0.24158,1.31975,3.45958,2.16206,0.000208805,0.000208805,0.000208805
25,120.638,0.4374,1.77181,1.12281,0.00265,0.78571,0.38743,0.27528,1.25344,3.47748,1.97824,0.000209962,0.000209962,0.000209962
26,126.214,0.40633,1.90891,1.0897,0.00265,0.78571,0.38743,0.27528,1.25344,3.47748,1.97824,0.000210459,0.000210459,0.000210459
27,131.438,0.34394,1.54735,1.0615,0.00267,0.78571,0.42477,0.35522,1.20947,3.52312,1.80739,0.000210295,0.000210295,0.000210295
28,179.627,0.32409,1.47507,1.05404,0.00267,0.78571,0.42477,0.35522,1.20947,3.52312,1.80739,0.000209472,0.000209472,0.000209472
29,185.676,0.35506,1.51609,1.0606,0.00271,0.78571,0.29445,0.24391,1.16454,3.55297,1.73081,0.000207988,0.000207988,0.000207988
30,190.552,0.36853,1.43783,1.07965,0.00271,0.78571,0.29445,0.24391,1.16454,3.55297,1.73081,0.000205844,0.000205844,0.000205844
31,195.425,0.30264,1.39611,1.04302,0.00337,0.85714,0.28401,0.24199,1.27831,3.56652,1.82909,0.000203041,0.000203041,0.000203041
32,200.169,0.43965,1.64312,1.10836,0.00337,0.85714,0.28401,0.24199,1.27831,3.56652,1.82909,0.000199577,0.000199577,0.000199577
33,205.05,0.33731,1.32381,1.06329,0.00344,0.85714,0.47793,0.43867,1.26627,3.55984,1.78412,0.000195452,0.000195452,0.000195452
34,209.763,0.3069,1.35657,1.03687,0.00344,0.85714,0.47793,0.43867,1.26627,3.55984,1.78412,0.000190668,0.000190668,0.000190668
35,214.915,0.36471,1.36495,1.12135,0.00296,0.78571,0.53677,0.4639,1.22217,3.44294,1.74206,0.000185224,0.000185224,0.000185224
36,219.896,0.35136,1.18367,1.06949,0.00296,0.78571,0.53677,0.4639,1.22217,3.44294,1.74206,0.000179119,0.000179119,0.000179119
37,224.723,0.45484,1.40256,1.11866,0.06572,0.78571,0.7859,0.69664,1.26109,3.29148,1.73946,0.000172354,0.000172354,0.000172354
38,229.497,0.38534,1.28205,1.10179,0.06572,0.78571,0.7859,0.69664,1.26109,3.29148,1.73946,0.00016493,0.00016493,0.00016493
