epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,207.121,0.28373,0.90587,1.05564,0.89929,0.28571,0.3835,0.28075,1.60764,3.05175,2.17923,0.00040605,0.00040605,0.00040605
43,211.917,0.37413,1.0843,1.08614,0.12946,0.28571,0.35024,0.20095,2.14053,3.73541,2.54985,0.000409022,0.000409022,0.000409022
44,216.563,0.36363,0.97302,1.02938,0.12946,0.28571,0.35024,0.20095,2.14053,3.73541,2.54985,0.000411664,0.000411664,0.000411664
45,221.349,0.26136,0.99142,0.98669,0.32569,0.64648,0.31762,0.21142,2.68994,4.60821,3.27255,0.000413976,0.000413976,0.000413976
46,226.013,0.26823,0.81127,0.97362,0.32569,0.64648,0.31762,0.21142,2.68994,4.60821,3.27255,0.000415958,0.000415958,0.000415958
47,230.688,0.33023,1.07472,1.02305,0.33437,0.63566,0.37372,0.2529,2.55897,4.65745,3.17837,0.00041761,0.00041761,0.00041761
48,235.467,0.2782,0.87562,1.046,0.33437,0.63566,0.37372,0.2529,2.55897,4.65745,3.17837,0.000418932,0.000418932,0.000418932
49,240.303,0.39843,1.09985,1.09749,0.46496,0.71429,0.45695,0.30757,2.4066,3.9037,3.24412,0.000419924,0.000419924,0.000419924
50,245.082,0.30719,0.91236,0.98864,0.46496,0.71429,0.45695,0.30757,2.4066,3.9037,3.24412,0.000420586,0.000420586,0.000420586
51,250.111,0.32693,0.95727,1.05378,0.59152,0.68111,0.47173,0.29709,2.2616,3.80531,3.10519,0.000420918,0.000420918,0.000420918
52,254.782,0.41085,1.09564,1.08007,0.59152,0.68111,0.47173,0.29709,2.2616,3.80531,3.10519,0.000420919,0.000420919,0.000420919
53,259.545,0.32065,1.05085,1.03762,0.59152,0.68111,0.47173,0.29709,2.2616,3.80531,3.10519,0.000420591,0.000420591,0.000420591
54,264.221,0.26677,0.86505,0.99837,0.42325,0.57143,0.39948,0.29539,2.2118,3.51132,3.03235,0.000419932,0.000419932,0.000419932
55,268.966,0.33406,0.95168,1.05425,0.42325,0.57143,0.39948,0.29539,2.2118,3.51132,3.03235,0.000418944,0.000418944,0.000418944
56,273.705,0.34113,0.97562,0.9801,0.42325,0.57143,0.39948,0.29539,2.2118,3.51132,3.03235,0.000417625,0.000417625,0.000417625
57,278.5,0.27373,0.80948,0.97407,0.38965,0.57143,0.39025,0.29361,1.97189,3.79242,2.73945,0.000415977,0.000415977,0.000415977
58,283.192,0.25783,0.78423,0.99535,0.38965,0.57143,0.39025,0.29361,1.97189,3.79242,2.73945,0.000413998,0.000413998,0.000413998
59,288.059,0.30102,0.89942,1.03661,0.38965,0.57143,0.39025,0.29361,1.97189,3.79242,2.73945,0.000411689,0.000411689,0.000411689
60,292.912,0.28039,0.95234,1.02333,0.44593,0.57143,0.40085,0.30614,1.92334,3.51172,2.71581,0.00040905,0.00040905,0.00040905
61,297.594,0.32834,0.9372,1.0557,0.44593,0.57143,0.40085,0.30614,1.92334,3.51172,2.71581,0.000406081,0.000406081,0.000406081
62,302.341,0.29475,0.84981,1.05698,0.44593,0.57143,0.40085,0.30614,1.92334,3.51172,2.71581,0.000402782,0.000402782,0.000402782
63,307.45,0.27261,0.81696,0.99122,0.63765,0.64286,0.45192,0.33435,1.90269,3.19588,2.75651,0.000399153,0.000399153,0.000399153
64,312.471,0.28268,0.76813,1.0204,0.63765,0.64286,0.45192,0.33435,1.90269,3.19588,2.75651,0.000395194,0.000395194,0.000395194
65,317.181,0.23206,0.75723,0.9636,0.63765,0.64286,0.45192,0.33435,1.90269,3.19588,2.75651,0.000390905,0.000390905,0.000390905
66,321.857,0.22661,0.84423,0.99239,0.86406,0.6874,0.73204,0.6136,1.70261,2.78881,2.62405,0.000386286,0.000386286,0.000386286
67,326.6,0.25319,0.88421,0.97024,0.86406,0.6874,0.73204,0.6136,1.70261,2.78881,2.62405,0.000381336,0.000381336,0.000381336
68,331.335,0.25779,0.77872,0.98484,0.86406,0.6874,0.73204,0.6136,1.70261,2.78881,2.62405,0.000376057,0.000376057,0.000376057
69,336.22,0.31157,0.8411,0.99233,0.89455,0.71429,0.7606,0.62836,1.70187,2.48997,2.58667,0.000370447,0.000370447,0.000370447
70,341.725,0.35574,0.97104,1.10255,0.89455,0.71429,0.7606,0.62836,1.70187,2.48997,2.58667,0.000364508,0.000364508,0.000364508
